V1,V2,V3
1,,
2,,
3,0.729487316777961,0.173499066641124
4,0.768413474540372,0.162991255415677
5,0.747765975529656,0.142406245196454
6,0.724891855854357,0.123128376773573
7,0.727541237911501,0.11529353429194
8,0.727046355895421,0.106183199175327
9,0.737060189150003,0.106575764862165
10,0.708876966539826,0.0955589775137956
11,0.697877726560621,0.0946501354511249
12,0.723968796478458,0.0854046540076126
13,0.724220330442406,0.0776643706143108
14,0.721805538131738,0.0803283716302193
15,0.727779696000652,0.077168515276077
16,0.725518158621405,0.0815299459432748
17,0.722395189233865,0.0731544268795235
18,0.705567683978833,0.07084031565429
19,0.70760685327712,0.079294275445783
20,0.698138489988041,0.080850450127199
21,0.693422411748104,0.0937083208697727
22,0.670508096983424,0.0923699337407703
23,0.667450397367336,0.106153260877411
24,0.639419629197914,0.122302769886605
25,0.622821877174116,0.116481378834832
